FslLanguage,FslLabel,FslClassifier,FslPage,PldbId,PldbName,PldbWikipedia,matched,match_count,name_matches,url_equal
ATL,ATL,ModelTransformationLanguage,https://en.wikipedia.org/wiki/ATLAS_Transformation_Language,,,,False,0,,
BNF,BNF,GrammarMetalanguage,https://en.wikipedia.org/wiki/Backus%E2%80%93Naur_form,bnf,BNF,https://en.wikipedia.org/wiki/Backus–Naur_form,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,False
BackusNaurForm,Backus-Naur form,GrammarMetalanguage,https://en.wikipedia.org/wiki/Backus%E2%80%93Naur_form,,,,False,0,,
Coq,Coq,ProofLanguage,https://en.wikipedia.org/wiki/Coq,coq,Coq,https://en.wikipedia.org/wiki/Coq,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
Cypher,Cypher,GraphQueryLanguage,https://en.wikipedia.org/wiki/Cypher_(query_language),cypher,Cypher Query Language,https://en.wikipedia.org/wiki/Cypher_Query_Language,True,1,SoftwareLanguage -> id; Label -> id,False
EBNF,EBNF,GrammarMetalanguage,https://en.wikipedia.org/wiki/Extended_Backus%E2%80%93Naur_form,ebnf,EBNF,https://en.wikipedia.org/wiki/Extended_Backus–Naur_form,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,False
Ecore,Ecore,MetamodelingLanguage,https://en.wikipedia.org/wiki/Eclipse_Modeling_Framework,,,,False,0,,
ExtendedBackusNaurForm,Extended Backus-Naur form,GrammarMetalanguage,https://en.wikipedia.org/wiki/Extended_Backus%E2%80%93Naur_form,,,,False,0,,
GraphQLSchema,GraphQL schema language,InterfaceDescriptionLanguage,https://en.wikipedia.org/wiki/GraphQL,,,,False,0,,
GraphQueryLanguageStandard,Graph Query Language,QueryLanguage,https://en.wikipedia.org/wiki/Graph_Query_Language,,,,False,0,,
Gremlin,Gremlin,QueryLanguage,https://en.wikipedia.org/wiki/Gremlin_(query_language),gremlin,Gremlin,https://en.wikipedia.org/wiki/Gremlin_(programming_language),True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,False
HTML,HTML,MarkupLanguage,https://en.wikipedia.org/wiki/HTML,html,HTML,https://en.wikipedia.org/wiki/HTML,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
JSON,JSON,SoftwareLanguage,https://en.wikipedia.org/wiki/JSON,json,JSON,https://en.wikipedia.org/wiki/JSON,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
JSONSchema,JSON Schema,JSONSchemaLanguage,https://en.wikipedia.org/wiki/JSON_Schema,json-schema,JSON Schema,,True,1,Label -> name,
Lean,Lean,ProofLanguage,https://en.wikipedia.org/wiki/Lean_(proof_assistant),lean,Lean,,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,
MOF,MOF,MetamodelingLanguage,https://en.wikipedia.org/wiki/Meta-Object_Facility,,,,False,0,,
Makefile,Makefile,BuildScriptingLanguage,,,,,False,0,,
Markdown,Markdown,MarkupLanguage,https://en.wikipedia.org/wiki/Markdown,markdown,Markdown,https://en.wikipedia.org/wiki/Markdown,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
OCL,OCL,ConstraintLanguage,https://en.wikipedia.org/wiki/Object_Constraint_Language,ocl,OCL,https://en.wikipedia.org/wiki/Object_Constraint_Language,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
OCL,OCL,QueryLanguage,https://en.wikipedia.org/wiki/Object_Constraint_Language,ocl,OCL,https://en.wikipedia.org/wiki/Object_Constraint_Language,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
OWL,OWL,OntologyLanguage,https://en.wikipedia.org/wiki/Web_Ontology_Language,owl,OWL,https://en.wikipedia.org/wiki/Web_Ontology_Language,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
OpenAPI,OpenAPI,InterfaceDescriptionLanguage,https://en.wikipedia.org/wiki/OpenAPI_Specification,,,,False,0,,
PetriNet,Petri net,ModelingLanguage,https://en.wikipedia.org/wiki/Petri_net,,,,False,0,,
QVT,QVT,ModelTransformationLanguage,https://en.wikipedia.org/wiki/QVT,,,,False,0,,
RDF,RDF,SemanticDataModelLanguage,https://en.wikipedia.org/wiki/Resource_Description_Framework,rdf,RDF,https://en.wikipedia.org/wiki/Resource_Description_Framework,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,True
RDFS,RDFS,OntologyLanguage,https://en.wikipedia.org/wiki/RDF_Schema,,,,False,0,,
RELAXNG,RELAX NG,XMLSchemaLanguage,https://en.wikipedia.org/wiki/RELAX_NG,relaxng,RELAX NG,https://en.wikipedia.org/wiki/RELAX_NG,True,1,SoftwareLanguage -> id; Label -> name,True
RequirementsInterchangeFormat,Requirements Interchange Format,RequirementsSpecificationLanguage,,,,,False,0,,
SHACL,SHACL,ConstraintLanguage,https://en.wikipedia.org/wiki/Shapes_Constraint_Language,shacl,SHACL,https://en.wikipedia.org/wiki/SHACL,True,1,SoftwareLanguage -> id; SoftwareLanguage -> name; Label -> id; Label -> name,False
