Superclass,Subclass
AcceptanceTesting,UserAcceptanceTesting
Coding,Programming
DesignActivity,DataModelDesign
DesignActivity,DesignValidation
DesignActivity,HighLevelDesign
DesignActivity,InterfaceDesign
DesignActivity,LowLevelDesign
DesignActivity,SystemArchitectureDesign
DesignActivity,UXUIDesign
DesignValidation,Prototyping
EvolutionAndImprovementActivity,ChangeManagement
EvolutionAndImprovementActivity,FeatureEnhancement
EvolutionAndImprovementActivity,Migration
EvolutionAndImprovementActivity,Reengineering
EvolutionAndImprovementActivity,Refactoring
EvolutionAndImprovementActivity,TechnicalDebtManagement
Implementation,CodeGeneration
Implementation,Coding
ImplementationActivity,BuildScripting
ImplementationActivity,CodeReview
ImplementationActivity,DependencyManagement
ImplementationActivity,Implementation
ImplementationActivity,Refactoring
InterfaceDesign,APIDesign
OperationsAndMaintenanceActivity,BackupAndRecovery
OperationsAndMaintenanceActivity,BugFixing
OperationsAndMaintenanceActivity,CapacityPlanning
OperationsAndMaintenanceActivity,IncidentManagement
OperationsAndMaintenanceActivity,Logging
OperationsAndMaintenanceActivity,Monitoring
OperationsAndMaintenanceActivity,Patching
OperationsAndMaintenanceActivity,PerformanceTuning
PlanningAndManagementActivity,ConfigurationManagementPlanning
PlanningAndManagementActivity,EffortEstimation
PlanningAndManagementActivity,ProcessDefinition
PlanningAndManagementActivity,ProjectPlanning
PlanningAndManagementActivity,ResourceAllocation
PlanningAndManagementActivity,RiskManagement
PlanningAndManagementActivity,Roadmapping
PlanningAndManagementActivity,StakeholderManagement
QualityAndGovernanceActivity,Auditing
QualityAndGovernanceActivity,ComplianceManagement
QualityAndGovernanceActivity,Documentation
QualityAndGovernanceActivity,QualityAssurance
QualityAndGovernanceActivity,QualityControl
QualityAndGovernanceActivity,SecurityManagement
ReleaseAndDeploymentActivity,ContinuousDelivery
ReleaseAndDeploymentActivity,ContinuousDeployment
ReleaseAndDeploymentActivity,ContinuousIntegration
ReleaseAndDeploymentActivity,Deployment
ReleaseAndDeploymentActivity,Packaging
ReleaseAndDeploymentActivity,ReleaseManagement
ReleaseAndDeploymentActivity,RollbackManagement
ReleaseAndDeploymentActivity,Versioning
RequirementsEngineeringActivity,RequirementsAnalysis
RequirementsEngineeringActivity,RequirementsElicitation
RequirementsEngineeringActivity,RequirementsManagement
RequirementsEngineeringActivity,RequirementsPrioritization
RequirementsEngineeringActivity,RequirementsSpecification
RequirementsEngineeringActivity,RequirementsValidation
SupportActivity,DevOpsPractice
SupportActivity,EnvironmentProvisioning
SupportActivity,Experimentation
SupportActivity,KnowledgeManagement
SupportActivity,ToolingSetup
SupportActivity,TrainingAndOnboarding
TestingActivity,ValidationTestingActivity
TestingActivity,VerificationTestingActivity
ValidationActivity,ValidationTestingActivity
ValidationTestingActivity,AcceptanceTesting
ValidationTestingActivity,PerformanceTesting
ValidationTestingActivity,SecurityTesting
ValidationTestingActivity,SystemTesting
ValidationTestingActivity,UsabilityTesting
VerificationActivity,CodeInspection
VerificationActivity,FormalVerification
VerificationActivity,StaticAnalysis
VerificationActivity,VerificationTestingActivity
VerificationAndValidationActivity,CodeReview
VerificationAndValidationActivity,TestingActivity
VerificationAndValidationActivity,ValidationActivity
VerificationAndValidationActivity,VerificationActivity
VerificationTestingActivity,IntegrationTesting
VerificationTestingActivity,UnitTesting
EngineeringActivity,DesignActivity
EngineeringActivity,EvolutionAndImprovementActivity
EngineeringActivity,ImplementationActivity
EngineeringActivity,OperationsAndMaintenanceActivity
EngineeringActivity,PlanningAndManagementActivity
EngineeringActivity,QualityAndGovernanceActivity
EngineeringActivity,ReleaseAndDeploymentActivity
EngineeringActivity,RequirementsEngineeringActivity
EngineeringActivity,SupportActivity
EngineeringActivity,VerificationAndValidationActivity
