Subject,Predicate,Object
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#hasArea,http://www.softlang.org/ontologies/ce#PLT
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#hasArea,http://www.softlang.org/ontologies/ce#SE
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#hasArea,http://www.softlang.org/ontologies/ce#SLE
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#hasSpace,http://www.softlang.org/ontologies/ce#Programware
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#AdHocPolymorphism
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Branching
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Closures
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#DataAbstraction
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Encapsulation
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Exceptions
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#ImperativeParadigm
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Iteration
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#ModuleAbstraction
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#ObjectOrientedParadigm
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Objects
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Recursion
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Sequencing
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#StaticTyping
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#nativelySupports,http://www.softlang.org/ontologies/ce#Subtyping
http://www.softlang.org/ontologies/pe#Java,http://www.softlang.org/ontologies/tbox#standardlySupports,http://www.softlang.org/ontologies/ce#FuturesAndPromises
http://www.softlang.org/ontologies/pe#Java,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.softlang.org/ontologies/pe#ProgrammingLanguage
http://www.softlang.org/ontologies/pe#Java,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.softlang.org/ontologies/tbox#LanguageEntity
http://www.softlang.org/ontologies/pe#Java,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.softlang.org/ontologies/pe#Java,http://www.w3.org/2000/01/rdf-schema#comment,class-based general-purpose programming language targeting portability and managed execution
http://www.softlang.org/ontologies/pe#Java,http://www.w3.org/2000/01/rdf-schema#label,Java
http://www.softlang.org/ontologies/pe#Java,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,https://dbpedia.org/resource/Java_(programming_language)
http://www.softlang.org/ontologies/pe#Java,http://xmlns.com/foaf/0.1/page,https://en.wikipedia.org/wiki/Java_(programming_language)
http://www.softlang.org/ontologies/pe#Java_ErrorHandling_assertion,http://www.softlang.org/ontologies/tbox#assertedForLanguage,http://www.softlang.org/ontologies/pe#Java
http://www.softlang.org/ontologies/pe#Java_FuturesAndPromises_assertion,http://www.softlang.org/ontologies/tbox#assertedForLanguage,http://www.softlang.org/ontologies/pe#Java
http://www.softlang.org/ontologies/pe#Java_Objects_assertion,http://www.softlang.org/ontologies/tbox#assertedForLanguage,http://www.softlang.org/ontologies/pe#Java
