Entity,Reference
MegamodelArtifact,FavreLaemmelVaranovich2012LinguisticArchitecture
MegamodelArtifact,FavreNguyen2004MegamodelEvolution
Grammarware,KlintLaemmelVerhoef2005Grammarware
Modelware,Bezivin2006MDETechnicalSpace
TechnologicalSpace,KurtevBezivinAksit2002TechnologicalSpaces
conformsTo,AtkinsonGerbig2016OntologicalClassification
conformsTo,AtkinsonKuehne2003MetamodelingFoundation
conformsTo,DegueuleEtAl2017SafeModelPolymorphism
conformsTo,Favre2005MetaPyramids
conformsTo,RossiniDeLaraGuerraEtAl2014DeepMetamodelling
elementOf,Favre2005MetaPyramids
